time,price,volume,open_interest
2025-04-25 15:00:00,0.38,157,157
2025-04-25 16:00:00,0.37,505,662
2025-04-25 17:00:00,,0,662
2025-04-25 18:00:00,0.38,2,662
2025-04-25 19:00:00,,0,662
2025-04-25 20:00:00,,0,662
2025-04-25 21:00:00,0.37,1,663
2025-04-25 22:00:00,,0,663
2025-04-25 23:00:00,,0,663
2025-04-26 00:00:00,,0,663
2025-04-26 01:00:00,0.37,10,673
2025-04-26 13:00:00,0.37,5,678
2025-04-26 15:00:00,0.37,278,956
2025-04-26 16:00:00,0.41,47,987
2025-04-26 18:00:00,0.41,2,987
2025-04-26 19:00:00,,0,987
2025-04-27 00:00:00,0.4,2,987
2025-04-27 06:00:00,,0,987
2025-04-27 12:00:00,,0,987
2025-04-27 13:00:00,,0,987
2025-04-27 14:00:00,,0,987
2025-04-27 15:00:00,,0,987
2025-04-27 17:00:00,,0,987
2025-04-27 18:00:00,0.37,1,987
2025-04-27 20:00:00,,0,987
2025-04-27 22:00:00,,0,987
2025-04-27 23:00:00,,0,987
2025-04-28 00:00:00,,0,987
2025-04-28 01:00:00,,0,987
2025-04-28 02:00:00,0.38,253,1240
2025-04-28 03:00:00,,0,1240
2025-04-28 04:00:00,0.37,7,1240
2025-04-28 05:00:00,,0,1240
2025-04-28 06:00:00,,0,1240
2025-04-28 07:00:00,,0,1240
2025-04-28 08:00:00,,0,1240
2025-04-28 12:00:00,,0,1240
2025-04-28 13:00:00,,0,1240
2025-04-28 14:00:00,0.38,213,1352
2025-04-28 15:00:00,,0,1352
2025-04-28 16:00:00,0.4,85,1437
2025-04-28 17:00:00,,0,1437
2025-04-28 18:00:00,0.4,58,1495
2025-04-28 19:00:00,,0,1495
2025-04-28 20:00:00,,0,1495
2025-04-28 21:00:00,,0,1495
2025-04-28 22:00:00,,0,1495
2025-04-28 23:00:00,,0,1495
2025-04-29 00:00:00,,0,1495
2025-04-29 01:00:00,,0,1495
2025-04-29 02:00:00,,0,1495
2025-04-29 03:00:00,0.4,2,1497
2025-04-29 04:00:00,,0,1497
2025-04-29 05:00:00,,0,1497
2025-04-29 06:00:00,0.4,119,1616
2025-04-29 07:00:00,,0,1616
2025-04-29 08:00:00,,0,1616
2025-04-29 13:00:00,,0,1616
2025-04-29 14:00:00,,0,1616
2025-04-29 15:00:00,,0,1616
2025-04-29 16:00:00,,0,1616
2025-04-29 19:00:00,,0,1616
2025-04-29 20:00:00,,0,1616
2025-04-29 21:00:00,0.37,497,1616
2025-04-29 22:00:00,,0,1616
2025-04-29 23:00:00,,0,1616
2025-04-30 00:00:00,,0,1616
2025-04-30 01:00:00,,0,1616
2025-04-30 02:00:00,0.39,4,1620
2025-04-30 03:00:00,,0,1620
2025-04-30 04:00:00,,0,1620
2025-04-30 05:00:00,,0,1620
2025-04-30 06:00:00,0.39,4,1624
2025-04-30 07:00:00,,0,1624
2025-04-30 08:00:00,,0,1624
2025-04-30 09:00:00,,0,1624
2025-04-30 12:00:00,,0,1624
2025-04-30 13:00:00,,0,1624
2025-04-30 14:00:00,,0,1624
2025-04-30 15:00:00,0.39,13,1637
2025-04-30 16:00:00,0.39,134,1771
2025-04-30 18:00:00,,0,1771
2025-04-30 19:00:00,0.39,4,1775
2025-04-30 20:00:00,,0,1775
2025-04-30 21:00:00,,0,1775
2025-04-30 22:00:00,,0,1775
2025-04-30 23:00:00,,0,1775
2025-05-01 00:00:00,,0,1775
2025-05-01 01:00:00,0.33,253,1603
2025-05-01 02:00:00,,0,1603
2025-05-01 03:00:00,,0,1603
2025-05-01 04:00:00,,0,1603
2025-05-01 05:00:00,0.37,25,1628
2025-05-01 06:00:00,,0,1628
2025-05-01 07:00:00,,0,1628
2025-05-01 08:00:00,,0,1628
2025-05-01 12:00:00,,0,1628
2025-05-01 13:00:00,,0,1628
2025-05-01 14:00:00,0.37,15,1643
2025-05-01 15:00:00,0.36,96,1739
2025-05-01 16:00:00,,0,1739
2025-05-01 17:00:00,,0,1739
2025-05-01 18:00:00,,0,1739
2025-05-01 19:00:00,0.33,55,1790
2025-05-01 20:00:00,,0,1790
2025-05-01 21:00:00,0.37,12,1802
2025-05-01 22:00:00,,0,1802
2025-05-01 23:00:00,,0,1802
2025-05-02 00:00:00,,0,1802
2025-05-02 01:00:00,,0,1802
2025-05-02 02:00:00,,0,1802
2025-05-02 03:00:00,,0,1802
2025-05-02 04:00:00,0.34,75,1877
2025-05-02 05:00:00,0.34,14,1891
2025-05-02 06:00:00,,0,1891
2025-05-02 07:00:00,,0,1891
2025-05-02 08:00:00,,0,1891
2025-05-02 12:00:00,,0,1891
2025-05-02 13:00:00,,0,1891
2025-05-02 14:00:00,,0,1891
2025-05-02 15:00:00,,0,1891
2025-05-02 16:00:00,0.34,13,1904
2025-05-02 17:00:00,,0,1904
2025-05-02 18:00:00,,0,1904
2025-05-02 19:00:00,,0,1904
2025-05-02 20:00:00,,0,1904
2025-05-02 21:00:00,0.33,77,1932
2025-05-02 22:00:00,,0,1932
2025-05-02 23:00:00,,0,1932
2025-05-03 00:00:00,,0,1932
2025-05-03 01:00:00,,0,1932
2025-05-03 02:00:00,,0,1932
2025-05-03 03:00:00,,0,1932
2025-05-03 04:00:00,,0,1932
2025-05-03 05:00:00,0.34,54,1941
2025-05-03 06:00:00,0.34,5,1946
2025-05-03 07:00:00,0.34,2,1948
2025-05-03 08:00:00,,0,1948
2025-05-03 12:00:00,,0,1948
2025-05-03 13:00:00,,0,1948
2025-05-03 14:00:00,,0,1948
2025-05-03 15:00:00,,0,1948
2025-05-03 16:00:00,,0,1948
2025-05-03 17:00:00,,0,1948
2025-05-03 18:00:00,,0,1948
2025-05-03 19:00:00,,0,1948
2025-05-03 20:00:00,,0,1948
2025-05-03 21:00:00,,0,1948
2025-05-03 22:00:00,0.33,50,1948
2025-05-03 23:00:00,,0,1948
2025-05-04 00:00:00,,0,1948
2025-05-04 01:00:00,,0,1948
2025-05-04 02:00:00,,0,1948
2025-05-04 03:00:00,,0,1948
2025-05-04 04:00:00,,0,1948
2025-05-04 05:00:00,,0,1948
2025-05-04 06:00:00,,0,1948
2025-05-04 07:00:00,,0,1948
2025-05-04 08:00:00,,0,1948
2025-05-04 13:00:00,,0,1948
2025-05-04 14:00:00,,0,1948
2025-05-04 15:00:00,,0,1948
2025-05-04 16:00:00,,0,1948
2025-05-04 17:00:00,0.34,101,2049
2025-05-04 18:00:00,0.34,1,2050
2025-05-04 19:00:00,,0,2050
2025-05-04 20:00:00,,0,2050
2025-05-04 21:00:00,,0,2050
2025-05-04 22:00:00,,0,2050
2025-05-04 23:00:00,0.34,28,2078
2025-05-05 00:00:00,,0,2078
2025-05-05 01:00:00,,0,2078
2025-05-05 02:00:00,,0,2078
2025-05-05 03:00:00,0.31,350,2420
2025-05-05 04:00:00,,0,2420
2025-05-05 05:00:00,,0,2420
2025-05-05 06:00:00,,0,2420
2025-05-05 07:00:00,,0,2420
2025-05-05 08:00:00,,0,2420
2025-05-05 09:00:00,,0,2420
2025-05-05 12:00:00,,0,2420
2025-05-05 13:00:00,,0,2420
2025-05-05 14:00:00,,0,2420
2025-05-05 15:00:00,,0,2420
2025-05-05 16:00:00,,0,2420
2025-05-05 17:00:00,,0,2420
2025-05-05 18:00:00,0.32,14,2434
2025-05-05 19:00:00,,0,2434
2025-05-05 20:00:00,0.32,2,2436
2025-05-05 21:00:00,0.33,2,2438
2025-05-05 22:00:00,0.32,14,2452
2025-05-05 23:00:00,0.32,119,2571
2025-05-06 00:00:00,,0,2571
2025-05-06 01:00:00,,0,2571
2025-05-06 02:00:00,,0,2571
2025-05-06 03:00:00,0.33,170,2741
2025-05-06 04:00:00,,0,2741
2025-05-06 05:00:00,0.33,14,2755
2025-05-06 06:00:00,0.31,745,3455
2025-05-06 07:00:00,,0,3455
2025-05-06 08:00:00,,0,3455
2025-05-06 09:00:00,,0,3455
2025-05-06 12:00:00,,0,3455
2025-05-06 13:00:00,,0,3455
2025-05-06 14:00:00,0.33,28,3483
2025-05-06 15:00:00,,0,3483
2025-05-06 16:00:00,,0,3483
2025-05-06 17:00:00,,0,3483
2025-05-06 18:00:00,,0,3483
2025-05-06 19:00:00,,0,3483
2025-05-06 20:00:00,0.31,10,3473
2025-05-06 21:00:00,,0,3473
2025-05-06 22:00:00,0.31,20,3493
2025-05-06 23:00:00,,0,3493
2025-05-07 00:00:00,0.31,3,3496
2025-05-07 01:00:00,0.31,15,3511
2025-05-07 02:00:00,0.31,117,3537
2025-05-07 03:00:00,0.31,17,3537
2025-05-07 04:00:00,,0,3537
2025-05-07 05:00:00,0.31,48,3537
2025-05-07 06:00:00,,0,3537
2025-05-07 07:00:00,,0,3537
2025-05-07 08:00:00,,0,3537
2025-05-07 09:00:00,,0,3537
2025-05-07 10:00:00,,0,3537
2025-05-07 12:00:00,,0,3537
2025-05-07 13:00:00,0.31,140,3537
2025-05-07 14:00:00,0.3,70,3607
2025-05-07 15:00:00,0.31,61,3668
2025-05-07 16:00:00,0.31,672,3904
2025-05-07 17:00:00,0.32,447,3924
2025-05-07 18:00:00,0.32,22,3929
2025-05-07 19:00:00,0.31,157,3935
2025-05-07 20:00:00,0.34,831,4763
2025-05-07 21:00:00,0.33,1444,6150
2025-05-07 22:00:00,0.34,424,6530
2025-05-07 23:00:00,0.33,193,6716
2025-05-08 00:00:00,0.35,1083,7799
