Category: All categories

Week,pope: (United States)
2024-04-14,3
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,3
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,1
2024-06-30,1
2024-07-07,1
2024-07-14,1
2024-07-21,1
2024-07-28,1
2024-08-04,1
2024-08-11,1
2024-08-18,1
2024-08-25,1
2024-09-01,1
2024-09-08,2
2024-09-15,2
2024-09-22,2
2024-09-29,2
2024-10-06,2
2024-10-13,2
2024-10-20,2
2024-10-27,2
2024-11-03,2
2024-11-10,2
2024-11-17,2
2024-11-24,2
2024-12-01,2
2024-12-08,2
2024-12-15,2
2024-12-22,3
2024-12-29,2
2025-01-05,2
2025-01-12,2
2025-01-19,2
2025-01-26,2
2025-02-02,2
2025-02-09,3
2025-02-16,7
2025-02-23,17
2025-03-02,7
2025-03-09,4
2025-03-16,3
2025-03-23,3
2025-03-30,2
2025-04-06,2
2025-04-13,2
2025-04-20,79
2025-04-27,17
2025-05-04,100
